constituency,ldf_score,udf_score,nda_score,others_score,live_intelligence_score,analysis_predicted,last_updated
Manjeshwaram,0.3762,0.4409,0.159,0.0239,0.4409,UDF,2026-04-27T11:10:41+00:00
Kasaragod,0.3512,0.5126,0.1148,0.0214,0.5126,UDF,2026-04-27T11:10:41+00:00
Udma,0.449245,0.433943,0.10011,0.016702,0.449245,LDF,2026-04-27T11:10:41+00:00
Kanhangad,0.52,0.3702,0.0929,0.0169,0.52,LDF,2026-04-27T11:10:41+00:00
Thrikkaripur,0.491,0.3977,0.0982,0.0131,0.491,LDF,2026-04-27T11:10:41+00:00
Payyannur,0.606839,0.306469,0.072993,0.013699,0.606839,LDF,2026-04-27T11:10:41+00:00
Kalliasseri,0.584058,0.329733,0.064906,0.021302,0.584058,LDF,2026-04-27T11:10:41+00:00
Thalassery,0.5595,0.3449,0.0686,0.027,0.5595,LDF,2026-04-27T11:10:41+00:00
Dharmadom,0.59974,0.305769,0.079892,0.014599,0.59974,LDF,2026-04-27T11:10:41+00:00
Thaliparamba,0.512751,0.405641,0.061506,0.020102,0.512751,LDF,2026-04-27T11:10:41+00:00
Irikkur,0.402,0.5119,0.0687,0.0174,0.5119,UDF,2026-04-27T11:10:41+00:00
Azhikode,0.4621,0.446,0.0683,0.0236,0.4621,LDF,2026-04-27T11:10:41+00:00
Kannur,0.463,0.4503,0.0692,0.0175,0.463,LDF,2026-04-27T11:10:41+00:00
Kuthuparamba,0.452855,0.451955,0.072993,0.022198,0.452855,LDF,2026-04-27T11:10:41+00:00
Mattannur,0.615338,0.256974,0.10379,0.023898,0.615338,LDF,2026-04-27T11:10:41+00:00
Peravoor,0.4241,0.5037,0.0579,0.0143,0.5037,UDF,2026-04-27T11:10:41+00:00
Mananthavady,0.434557,0.468753,0.074493,0.022198,0.468753,UDF,2026-04-27T11:10:41+00:00
Sulthan Bathery,0.3724,0.5231,0.0797,0.0248,0.5231,UDF,2026-04-27T11:10:41+00:00
Kalpetta,0.386861,0.534747,0.056294,0.022098,0.534747,UDF,2026-04-27T11:10:41+00:00
Vatakara,0.462246,0.459846,0.067007,0.010901,0.462246,LDF,2026-04-27T11:10:41+00:00
Kuttiady,0.4215,0.4854,0.0766,0.0165,0.4854,UDF,2026-04-27T11:10:41+00:00
Nadapuram,0.4315,0.4748,0.0735,0.0202,0.4748,UDF,2026-04-27T11:10:41+00:00
Koyilandy,0.4544,0.4332,0.09,0.0224,0.4544,LDF,2026-04-27T11:10:41+00:00
Perambra,0.4862,0.4123,0.0884,0.0131,0.4862,LDF,2026-04-27T11:10:41+00:00
Balusseri,0.472753,0.420458,0.089191,0.017598,0.472753,LDF,2026-04-27T11:10:41+00:00
Elathur,0.5481,0.3427,0.0927,0.0165,0.5481,LDF,2026-04-27T11:10:41+00:00
Kozhikode North,0.4575,0.4171,0.1058,0.0196,0.4575,LDF,2026-04-27T11:10:41+00:00
Kozhikode South,0.4662,0.4059,0.1081,0.0198,0.4662,LDF,2026-04-27T11:10:41+00:00
Beypore,0.49835,0.39676,0.085591,0.019298,0.49835,LDF,2026-04-27T11:10:41+00:00
Kunnamangalam,0.454,0.4413,0.0829,0.0218,0.454,LDF,2026-04-27T11:10:41+00:00
Koduvally,0.40026,0.486251,0.10049,0.012999,0.486251,UDF,2026-04-27T11:10:41+00:00
Thiruvambadi,0.4349,0.4816,0.0674,0.0161,0.4816,UDF,2026-04-27T11:10:41+00:00
Kondotty,0.3865,0.548,0.0461,0.0194,0.548,UDF,2026-04-27T11:10:41+00:00
Eranad,0.336666,0.568243,0.069993,0.025097,0.568243,UDF,2026-04-27T11:10:41+00:00
Nilambur,0.2735,0.2066,0.079,0.4409,0.4409,OTHERS,2026-04-27T11:10:41+00:00
Wandoor,0.380162,0.537046,0.063494,0.019298,0.537046,UDF,2026-04-27T11:10:41+00:00
Manjeri,0.3931,0.5455,0.0479,0.0135,0.5455,UDF,2026-04-27T11:10:41+00:00
Perinthalmanna,0.4371,0.4841,0.0589,0.0199,0.4841,UDF,2026-04-27T11:10:41+00:00
Mankada,0.4127,0.5109,0.0604,0.016,0.5109,UDF,2026-04-27T11:10:41+00:00
Malappuram,0.3424,0.5894,0.0472,0.021,0.5894,UDF,2026-04-27T11:10:41+00:00
Vengara,0.284028,0.605661,0.093909,0.016402,0.605661,UDF,2026-04-27T11:10:41+00:00
Vallikunnu,0.3853,0.5268,0.0623,0.0256,0.5268,UDF,2026-04-27T11:10:41+00:00
Tirurangadi,0.4008,0.5155,0.0679,0.0158,0.5155,UDF,2026-04-27T11:10:41+00:00
Tanur,0.426043,0.477148,0.075008,0.021802,0.477148,UDF,2026-04-27T11:10:41+00:00
Tirur,0.3965,0.5052,0.0695,0.0288,0.5052,UDF,2026-04-27T11:10:41+00:00
Kottakkal,0.385739,0.527953,0.065507,0.020802,0.527953,UDF,2026-04-27T11:10:41+00:00
Thavanur,0.429357,0.475852,0.076592,0.018198,0.475852,UDF,2026-04-27T11:10:41+00:00
Ponnani,0.491451,0.413759,0.071993,0.022798,0.491451,LDF,2026-04-27T11:10:41+00:00
Thrithala,0.4129,0.4444,0.1225,0.0202,0.4444,UDF,2026-04-27T11:10:41+00:00
Pattambi,0.453945,0.410041,0.122012,0.014001,0.453945,LDF,2026-04-27T11:10:41+00:00
Shornur,0.5135,0.3037,0.1597,0.0231,0.5135,LDF,2026-04-27T11:10:41+00:00
Ottappalam,0.441144,0.411141,0.126813,0.020902,0.441144,LDF,2026-04-27T11:10:41+00:00
Kongad,0.4725,0.3658,0.1392,0.0225,0.4725,LDF,2026-04-27T11:10:41+00:00
Mannarkkad,0.3805,0.4833,0.1152,0.021,0.4833,UDF,2026-04-27T11:10:41+00:00
Malampuzha,0.466547,0.361036,0.153615,0.018802,0.466547,LDF,2026-04-27T11:10:41+00:00
Palakkad,0.3267,0.2593,0.4029,0.0111,0.4029,NDA,2026-04-27T11:10:41+00:00
Tarur,0.494851,0.379562,0.110489,0.015098,0.494851,LDF,2026-04-27T11:10:41+00:00
Chittur,0.484252,0.347665,0.148885,0.019198,0.484252,LDF,2026-04-27T11:10:41+00:00
Nenmara,0.5003,0.3623,0.1166,0.0208,0.5003,LDF,2026-04-27T11:10:41+00:00
Alathur,0.517648,0.340066,0.118788,0.023498,0.517648,LDF,2026-04-27T11:10:41+00:00
Chelakkara,0.489751,0.375262,0.111789,0.023198,0.489751,LDF,2026-04-27T11:10:41+00:00
Kunnamkulam,0.4551,0.4257,0.1024,0.0168,0.4551,LDF,2026-04-27T11:10:41+00:00
Guruvayoor,0.39536,0.425957,0.156984,0.021698,0.425957,UDF,2026-04-27T11:10:41+00:00
Manalur,0.4414,0.3861,0.1562,0.0163,0.4414,LDF,2026-04-27T11:10:41+00:00
Wadakkanchery,0.367563,0.422658,0.188581,0.021198,0.422658,UDF,2026-04-27T11:10:41+00:00
Ollur,0.3899,0.4265,0.1687,0.0149,0.4265,UDF,2026-04-27T11:10:41+00:00
Thrissur,0.2007,0.3896,0.3971,0.0126,0.3971,NDA,2026-04-27T11:10:41+00:00
Nattika,0.4008,0.3703,0.2156,0.0133,0.4008,LDF,2026-04-27T11:10:41+00:00
Kaipamangalam,0.394539,0.390239,0.19532,0.019902,0.394539,LDF,2026-04-27T11:10:41+00:00
Irinjalakuda,0.40346,0.50355,0.075392,0.017598,0.50355,UDF,2026-04-27T11:10:41+00:00
Puthukkad,0.473047,0.424642,0.087909,0.014401,0.473047,LDF,2026-04-27T11:10:41+00:00
Chalakudy,0.3952,0.5106,0.0729,0.0213,0.5106,UDF,2026-04-27T11:10:41+00:00
Kodungallur,0.474947,0.432843,0.074707,0.017502,0.474947,LDF,2026-04-27T11:10:41+00:00
Perumbavoor,0.39526,0.514849,0.073893,0.015998,0.514849,UDF,2026-04-27T11:10:41+00:00
Angamaly,0.3602,0.543,0.076,0.0208,0.543,UDF,2026-04-27T11:10:41+00:00
Aluva,0.3406,0.5601,0.0779,0.0214,0.5601,UDF,2026-04-27T11:10:41+00:00
Kalamassery,0.4538,0.4322,0.0978,0.0162,0.4538,LDF,2026-04-27T11:10:41+00:00
Paravur,0.3414,0.5496,0.0861,0.0229,0.5496,UDF,2026-04-27T11:10:41+00:00
Vypin,0.443656,0.437856,0.09949,0.018998,0.443656,LDF,2026-04-27T11:10:41+00:00
Kochi,0.462654,0.39946,0.118888,0.018998,0.462654,LDF,2026-04-27T11:10:41+00:00
Thripunithura,0.40016,0.491951,0.081092,0.026797,0.491951,UDF,2026-04-27T11:10:41+00:00
Ernakulam,0.305769,0.49605,0.174783,0.023398,0.49605,UDF,2026-04-27T11:10:41+00:00
Thrikkakara,0.3431,0.5504,0.0908,0.0157,0.5504,UDF,2026-04-27T11:10:41+00:00
Kunnathunad,0.430643,0.473147,0.077908,0.018302,0.473147,UDF,2026-04-27T11:10:41+00:00
Piravom,0.3295,0.5796,0.0742,0.0167,0.5796,UDF,2026-04-27T11:10:41+00:00
Muvattupuzha,0.386761,0.523948,0.072393,0.016898,0.523948,UDF,2026-04-27T11:10:41+00:00
Kothamangalam,0.4463,0.4808,0.0595,0.0134,0.4808,UDF,2026-04-27T11:10:41+00:00
Devikulam,0.437844,0.464646,0.072707,0.024802,0.464646,UDF,2026-04-27T11:10:41+00:00
Udumbanchola,0.554845,0.334767,0.094591,0.015798,0.554845,LDF,2026-04-27T11:10:41+00:00
Thodupuzha,0.328,0.5815,0.0745,0.016,0.5815,UDF,2026-04-27T11:10:41+00:00
Idukki,0.410441,0.470847,0.09901,0.019702,0.470847,UDF,2026-04-27T11:10:41+00:00
Peerumede,0.406141,0.471647,0.10361,0.018602,0.471647,UDF,2026-04-27T11:10:41+00:00
Pala,0.3904,0.4319,0.1016,0.0761,0.4319,UDF,2026-04-27T11:10:41+00:00
Kaduthuruthy,0.357664,0.512149,0.115088,0.015098,0.512149,UDF,2026-04-27T11:10:41+00:00
Vaikom,0.4789,0.3748,0.1302,0.0161,0.4789,LDF,2026-04-27T11:10:41+00:00
Ettumanoor,0.4478,0.4361,0.0978,0.0183,0.4478,LDF,2026-04-27T11:10:41+00:00
Kottayam,0.2812,0.584,0.1081,0.0267,0.584,UDF,2026-04-27T11:10:41+00:00
Puthuppally,0.331067,0.521748,0.126587,0.020598,0.521748,UDF,2026-04-27T11:10:41+00:00
Changanassery,0.3604,0.4811,0.1419,0.0166,0.4811,UDF,2026-04-27T11:10:41+00:00
Kanjirappally,0.3899,0.4493,0.1367,0.0241,0.4493,UDF,2026-04-27T11:10:41+00:00
Poonjar,0.253075,0.567143,0.159484,0.020298,0.567143,UDF,2026-04-27T11:10:41+00:00
Aroor,0.4087,0.4491,0.1243,0.0179,0.4491,UDF,2026-04-27T11:10:41+00:00
Cherthala,0.4043,0.4455,0.1364,0.0138,0.4455,UDF,2026-04-27T11:10:41+00:00
Alappuzha,0.411541,0.438044,0.135014,0.015402,0.438044,UDF,2026-04-27T11:10:41+00:00
Ambalappuzha,0.4661,0.421,0.0945,0.0184,0.4661,LDF,2026-04-27T11:10:41+00:00
Kuttanad,0.4544,0.4421,0.082,0.0215,0.4544,LDF,2026-04-27T11:10:41+00:00
Haripad,0.3673,0.533,0.0787,0.021,0.533,UDF,2026-04-27T11:10:41+00:00
Kayamkulam,0.4593,0.4494,0.0805,0.0108,0.4593,LDF,2026-04-27T11:10:41+00:00
Mavelikkara,0.4977,0.3831,0.1002,0.019,0.4977,LDF,2026-04-27T11:10:41+00:00
Chengannur,0.5496,0.3187,0.1121,0.0196,0.5496,LDF,2026-04-27T11:10:41+00:00
Thiruvalla,0.464054,0.444056,0.073293,0.018598,0.464054,LDF,2026-04-27T11:10:41+00:00
Ranni,0.3694,0.4713,0.1435,0.0158,0.4713,UDF,2026-04-27T11:10:41+00:00
Aranmula,0.454155,0.39846,0.124688,0.022698,0.454155,LDF,2026-04-27T11:10:41+00:00
Konni,0.3275,0.123,0.1159,0.4336,0.4336,OTHERS,2026-04-27T11:10:41+00:00
Adoor,0.3806,0.4838,0.1216,0.014,0.4838,UDF,2026-04-27T11:10:41+00:00
Karunagapally,0.3274,0.5391,0.1146,0.0189,0.5391,UDF,2026-04-27T11:10:41+00:00
Chavara,0.412,0.4672,0.0993,0.0215,0.4672,UDF,2026-04-27T11:10:41+00:00
Kunnathur,0.424558,0.470953,0.094891,0.009599,0.470953,UDF,2026-04-27T11:10:41+00:00
Kottarakkara,0.4478,0.428,0.1068,0.0174,0.4478,LDF,2026-04-27T11:10:41+00:00
Pathanapuram,0.4552,0.4078,0.1148,0.0222,0.4552,LDF,2026-04-27T11:10:41+00:00
Punalur,0.5572,0.333,0.089,0.0208,0.5572,LDF,2026-04-27T11:10:41+00:00
Chadayamangalam,0.471253,0.421058,0.092891,0.014799,0.471253,LDF,2026-04-27T11:10:41+00:00
Kundara,0.40244,0.482648,0.091309,0.023602,0.482648,UDF,2026-04-27T11:10:41+00:00
Kollam,0.3891,0.4351,0.1554,0.0204,0.4351,UDF,2026-04-27T11:10:41+00:00
Eravipuram,0.487,0.3487,0.1502,0.0141,0.487,LDF,2026-04-27T11:10:41+00:00
Chathannoor,0.4459,0.3839,0.1492,0.021,0.4459,LDF,2026-04-27T11:10:41+00:00
Varkala,0.447,0.3934,0.1444,0.0152,0.447,LDF,2026-04-27T11:10:41+00:00
Attingal,0.4726,0.2959,0.2124,0.0191,0.4726,LDF,2026-04-27T11:10:41+00:00
Chirayinkeezhu,0.437,0.3958,0.1453,0.0219,0.437,LDF,2026-04-27T11:10:41+00:00
Nedumangad,0.470647,0.360236,0.147715,0.021402,0.470647,LDF,2026-04-27T11:10:41+00:00
Vamanapuram,0.3888,0.432,0.1584,0.0208,0.432,UDF,2026-04-27T11:10:41+00:00
Kazhakoottam,0.4164,0.3046,0.2592,0.0198,0.4164,LDF,2026-04-27T11:10:41+00:00
Vattiyoorkavu,0.4009,0.3053,0.2816,0.0122,0.4009,LDF,2026-04-27T11:10:41+00:00
Thiruvananthapuram,0.367,0.2333,0.3802,0.0195,0.3802,NDA,2026-04-27T11:10:41+00:00
Nemom,0.2362,0.3468,0.4024,0.0146,0.4024,NDA,2026-04-27T11:10:41+00:00
Aruvikkara,0.3884,0.415,0.1728,0.0238,0.415,UDF,2026-04-27T11:10:41+00:00
Parassala,0.4438,0.3664,0.1718,0.018,0.4438,LDF,2026-04-27T11:10:41+00:00
Kattakada,0.4492,0.3387,0.1937,0.0184,0.4492,LDF,2026-04-27T11:10:41+00:00
Kovalam,0.337866,0.484952,0.160884,0.016298,0.484952,UDF,2026-04-27T11:10:41+00:00
Neyyattinkara,0.4114,0.3888,0.1832,0.0166,0.4114,LDF,2026-04-27T11:10:41+00:00
