constituency,ldf_score,udf_score,nda_score,others_score,long_term_trend_score,analysis_predicted
Manjeshwaram,0.10518,0.8323,0.05952,0.003,0.8323,UDF
Kasaragod,0.10518,0.8323,0.05952,0.003,0.8323,UDF
Udma,0.80518,0.1323,0.05952,0.003,0.80518,LDF
Kanhangad,0.80518,0.1323,0.05952,0.003,0.80518,LDF
Thrikkaripur,0.80518,0.1323,0.05952,0.003,0.80518,LDF
Payyannur,0.8155,0.14622,0.03381,0.00447,0.8155,LDF
Kalliasseri,0.8155,0.14622,0.03381,0.00447,0.8155,LDF
Thalassery,0.8155,0.14622,0.03381,0.00447,0.8155,LDF
Dharmadom,0.8155,0.14622,0.03381,0.00447,0.8155,LDF
Thaliparamba,0.8155,0.14622,0.03381,0.00447,0.8155,LDF
Irikkur,0.1155,0.84622,0.03381,0.00447,0.84622,UDF
Azhikode,0.8155,0.14622,0.03381,0.00447,0.8155,LDF
Kannur,0.81835,0.14895,0.02994,0.00276,0.81835,LDF
Kuthuparamba,0.81835,0.14895,0.02994,0.00276,0.81835,LDF
Mattannur,0.81835,0.14895,0.02994,0.00276,0.81835,LDF
Peravoor,0.11835,0.84895,0.02994,0.00276,0.84895,UDF
Mananthavady,0.77827,0.17907,0.03912,0.00354,0.77827,LDF
Sulthan Bathery,0.07827,0.87907,0.03912,0.00354,0.87907,UDF
Kalpetta,0.07827,0.87907,0.03912,0.00354,0.87907,UDF
Vatakara,0.81835,0.14895,0.02994,0.00276,0.81835,LDF
Kuttiady,0.81835,0.14895,0.02994,0.00276,0.81835,LDF
Nadapuram,0.81835,0.14895,0.02994,0.00276,0.81835,LDF
Koyilandy,0.80299,0.14322,0.04968,0.00411,0.80299,LDF
Perambra,0.80299,0.14322,0.04968,0.00411,0.80299,LDF
Balusseri,0.80299,0.14322,0.04968,0.00411,0.80299,LDF
Elathur,0.80299,0.14322,0.04968,0.00411,0.80299,LDF
Kozhikode North,0.80299,0.14322,0.04968,0.00411,0.80299,LDF
Kozhikode South,0.80299,0.14322,0.04968,0.00411,0.80299,LDF
Beypore,0.80299,0.14322,0.04968,0.00411,0.80299,LDF
Kunnamangalam,0.59552,0.36443,0.03645,0.0036,0.59552,LDF
Koduvally,0.10299,0.84322,0.04968,0.00411,0.84322,UDF
Thiruvambadi,0.57827,0.37907,0.03912,0.00354,0.57827,LDF
Kondotty,0.09507,0.87805,0.02355,0.00333,0.87805,UDF
Eranad,0.07827,0.87907,0.03912,0.00354,0.87907,UDF
Nilambur,0.57827,0.37907,0.03912,0.00354,0.57827,LDF
Wandoor,0.07827,0.87907,0.03912,0.00354,0.87907,UDF
Manjeri,0.09507,0.87805,0.02355,0.00333,0.87805,UDF
Perinthalmanna,0.09507,0.87805,0.02355,0.00333,0.87805,UDF
Mankada,0.09507,0.87805,0.02355,0.00333,0.87805,UDF
Malappuram,0.09507,0.87805,0.02355,0.00333,0.87805,UDF
Vengara,0.09507,0.87805,0.02355,0.00333,0.87805,UDF
Vallikunnu,0.09507,0.87805,0.02355,0.00333,0.87805,UDF
Tirurangadi,0.09552,0.86443,0.03645,0.0036,0.86443,UDF
Tanur,0.79552,0.16443,0.03645,0.0036,0.79552,LDF
Tirur,0.09552,0.86443,0.03645,0.0036,0.86443,UDF
Kottakkal,0.09552,0.86443,0.03645,0.0036,0.86443,UDF
Thavanur,0.79552,0.16443,0.03645,0.0036,0.79552,LDF
Ponnani,0.79552,0.16443,0.03645,0.0036,0.79552,LDF
Thrithala,0.60017,0.32198,0.07293,0.00492,0.60017,LDF
Pattambi,0.80017,0.12198,0.07293,0.00492,0.80017,LDF
Shornur,0.80017,0.12198,0.07293,0.00492,0.80017,LDF
Ottappalam,0.80017,0.12198,0.07293,0.00492,0.80017,LDF
Kongad,0.80017,0.12198,0.07293,0.00492,0.80017,LDF
Mannarkkad,0.10017,0.82198,0.07293,0.00492,0.82198,UDF
Malampuzha,0.80017,0.12198,0.07293,0.00492,0.80017,LDF
Palakkad,0.12198,0.81589,0.05691,0.00522,0.81589,UDF
Tarur,0.82198,0.11589,0.05691,0.00522,0.82198,LDF
Chittur,0.82198,0.11589,0.05691,0.00522,0.82198,LDF
Nenmara,0.82198,0.11589,0.05691,0.00522,0.82198,LDF
Alathur,0.62198,0.31589,0.05691,0.00522,0.62198,LDF
Chelakkara,0.82198,0.11589,0.05691,0.00522,0.82198,LDF
Kunnamkulam,0.82198,0.11589,0.05691,0.00522,0.82198,LDF
Guruvayoor,0.79285,0.09105,0.1134,0.0027,0.79285,LDF
Manalur,0.79285,0.09105,0.1134,0.0027,0.79285,LDF
Wadakkanchery,0.79285,0.09105,0.1134,0.0027,0.79285,LDF
Ollur,0.79285,0.09105,0.1134,0.0027,0.79285,LDF
Thrissur,0.59285,0.29105,0.1134,0.0027,0.59285,LDF
Nattika,0.79285,0.09105,0.1134,0.0027,0.79285,LDF
Kaipamangalam,0.79285,0.09105,0.1134,0.0027,0.79285,LDF
Irinjalakuda,0.60419,0.32432,0.03375,0.03774,0.60419,LDF
Puthukkad,0.80419,0.12432,0.03375,0.03774,0.80419,LDF
Chalakudy,0.10419,0.82432,0.03375,0.03774,0.82432,UDF
Kodungallur,0.80419,0.12432,0.03375,0.03774,0.80419,LDF
Perumbavoor,0.10419,0.82432,0.03375,0.03774,0.82432,UDF
Angamaly,0.10419,0.82432,0.03375,0.03774,0.82432,UDF
Aluva,0.10419,0.82432,0.03375,0.03774,0.82432,UDF
Kalamassery,0.77641,0.15891,0.04785,0.01683,0.77641,LDF
Paravur,0.07641,0.85891,0.04785,0.01683,0.85891,UDF
Vypin,0.77641,0.15891,0.04785,0.01683,0.77641,LDF
Kochi,0.77641,0.15891,0.04785,0.01683,0.77641,LDF
Thripunithura,0.07641,0.85891,0.04785,0.01683,0.85891,UDF
Ernakulam,0.07641,0.85891,0.04785,0.01683,0.85891,UDF
Thrikkakara,0.07641,0.85891,0.04785,0.01683,0.85891,UDF
Kunnathunad,0.80659,0.15429,0.03264,0.00648,0.80659,LDF
Piravom,0.10659,0.85429,0.03264,0.00648,0.85429,UDF
Muvattupuzha,0.10659,0.85429,0.03264,0.00648,0.85429,UDF
Kothamangalam,0.80659,0.15429,0.03264,0.00648,0.80659,LDF
Devikulam,0.80659,0.15429,0.03264,0.00648,0.80659,LDF
Udumbanchola,0.80659,0.15429,0.03264,0.00648,0.80659,LDF
Thodupuzha,0.10659,0.85429,0.03264,0.00648,0.85429,UDF
Idukki,0.59951,0.3308,0.05922,0.01047,0.59951,LDF
Peerumede,0.59951,0.3308,0.05922,0.01047,0.59951,LDF
Pala,0.59951,0.3308,0.05922,0.01047,0.59951,LDF
Kaduthuruthy,0.09951,0.8308,0.05922,0.01047,0.8308,UDF
Vaikom,0.79951,0.1308,0.05922,0.01047,0.79951,LDF
Ettumanoor,0.79951,0.1308,0.05922,0.01047,0.79951,LDF
Kottayam,0.09951,0.8308,0.05922,0.01047,0.8308,UDF
Puthuppally,0.09663,0.81463,0.0849,0.00384,0.81463,UDF
Changanassery,0.59663,0.31463,0.0849,0.00384,0.59663,LDF
Kanjirappally,0.59663,0.31463,0.0849,0.00384,0.59663,LDF
Poonjar,0.09663,0.81463,0.0849,0.00384,0.81463,UDF
Aroor,0.79663,0.11463,0.0849,0.00384,0.79663,LDF
Cherthala,0.79663,0.11463,0.0849,0.00384,0.79663,LDF
Alappuzha,0.79663,0.11463,0.0849,0.00384,0.79663,LDF
Ambalappuzha,0.82021,0.12387,0.048,0.00792,0.82021,LDF
Kuttanad,0.62021,0.32387,0.048,0.00792,0.62021,LDF
Haripad,0.12021,0.82387,0.048,0.00792,0.82387,UDF
Kayamkulam,0.82021,0.12387,0.048,0.00792,0.82021,LDF
Mavelikkara,0.82021,0.12387,0.048,0.00792,0.82021,LDF
Chengannur,0.62021,0.32387,0.048,0.00792,0.62021,LDF
Thiruvalla,0.62021,0.32387,0.048,0.00792,0.62021,LDF
Ranni,0.59837,0.31994,0.07665,0.00504,0.59837,LDF
Aranmula,0.79837,0.11994,0.07665,0.00504,0.79837,LDF
Konni,0.79837,0.11994,0.07665,0.00504,0.79837,LDF
Adoor,0.09837,0.81994,0.07665,0.00504,0.81994,UDF
Karunagapally,0.09837,0.81994,0.07665,0.00504,0.81994,UDF
Chavara,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Kunnathur,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Kottarakkara,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Pathanapuram,0.59609,0.34535,0.05346,0.0051,0.59609,LDF
Punalur,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Chadayamangalam,0.79609,0.14535,0.05346,0.0051,0.79609,LDF
Kundara,0.09609,0.84535,0.05346,0.0051,0.84535,UDF
Kollam,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Eravipuram,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Chathannoor,0.59966,0.29987,0.09495,0.00552,0.59966,LDF
Varkala,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Attingal,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Chirayinkeezhu,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Nedumangad,0.79966,0.09987,0.09495,0.00552,0.79966,LDF
Vamanapuram,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Kazhakoottam,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Vattiyoorkavu,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Thiruvananthapuram,0.57815,0.31157,0.10791,0.00237,0.57815,LDF
Nemom,0.57815,0.11157,0.30791,0.00237,0.57815,LDF
Aruvikkara,0.57815,0.31157,0.10791,0.00237,0.57815,LDF
Parassala,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Kattakada,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
Kovalam,0.07815,0.81157,0.10791,0.00237,0.81157,UDF
Neyyattinkara,0.77815,0.11157,0.10791,0.00237,0.77815,LDF
